new_seeds_number,new_seeds_frac,omega,j0,j1,j2,j3,HAGBs_frac
3510,0.68932,0.09563,0.00654,0.00442,0.09735,0.89169,0.95757
3520,0.68993,0.09691,0.00652,0.00442,0.09695,0.89211,0.95772
3530,0.69053,0.09904,0.00651,0.00441,0.09675,0.89233,0.95780
3540,0.69114,0.09752,0.00640,0.00440,0.09646,0.89274,0.95802
3550,0.69174,0.09645,0.00638,0.00429,0.09607,0.89326,0.95823
3560,0.69234,0.09608,0.00627,0.00418,0.09618,0.89337,0.95838
3570,0.69293,0.09581,0.00626,0.00417,0.09599,0.89358,0.95846
3580,0.69353,0.09124,0.00625,0.00417,0.09560,0.89399,0.95861
3590,0.69412,0.09229,0.00624,0.00416,0.09521,0.89440,0.95876
3600,0.69471,0.09400,0.00622,0.00415,0.09502,0.89461,0.95884
3610,0.69530,0.09233,0.00621,0.00414,0.09424,0.89541,0.95911
3620,0.69589,0.08972,0.00620,0.00413,0.09406,0.89561,0.95919
3630,0.69647,0.08922,0.00619,0.00412,0.09348,0.89621,0.95940
